velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.008124,0.030972,0.043392,0.000000,0.000000,0.000000,0.000000,-0.120961,0.063623,-49.386005,49.394863,50.058746,49.366905,0.114148,0.000000,0.000000,49.535568,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.011456,0.032972,0.044916,0.000000,0.000000,0.000000,0.000000,-0.120918,0.063235,-49.395977,49.392521,49.511787,49.366905,0.115319,0.000000,0.000000,49.889641,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010925,0.033045,0.046409,0.000000,0.000000,0.000000,0.000000,-0.121131,0.063883,-49.391556,49.392929,49.910778,49.366905,0.114485,0.000000,0.000000,49.834152,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009929,0.032789,0.047270,0.000000,0.000000,0.000000,0.000000,-0.121356,0.064544,-49.393429,49.392120,49.820938,49.366905,0.115568,0.000000,0.000000,49.736385,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.011273,0.032119,0.047835,0.000000,0.000000,0.000000,0.000000,-0.121557,0.065202,-49.391155,49.389587,50.019112,49.366905,0.116598,0.000000,0.000000,49.820938,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.011315,0.028911,0.047347,0.000000,0.000000,0.000000,0.000000,-0.121767,0.065855,-49.390648,49.393021,49.910778,49.366905,0.114956,0.000000,0.000000,50.209362,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010378,0.030001,0.046537,0.000000,0.000000,0.000000,0.000000,-0.121522,0.065243,-49.394150,49.393562,50.415462,49.366905,0.115954,0.000000,0.000000,49.894924,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010458,0.030686,0.045752,0.000000,0.000000,0.000000,0.000000,-0.121736,0.065827,-49.393356,49.392128,49.728458,49.366905,0.114278,0.000000,0.000000,50.412819,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010161,0.030876,0.046728,0.000000,0.000000,0.000000,0.000000,-0.121942,0.066432,-49.391541,49.393288,49.461582,49.366905,0.115144,0.000000,0.000000,49.805084,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009709,0.031187,0.047683,0.000000,0.000000,0.000000,0.000000,-0.122149,0.067040,-49.395893,49.401730,49.733742,49.366905,0.116125,0.000000,0.000000,49.593700,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009887,0.029866,0.049641,0.000000,0.000000,0.000000,0.000000,-0.122369,0.067662,-49.404057,49.409676,49.665043,49.366905,0.114618,0.000000,0.000000,49.501217,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010135,0.032409,0.052217,0.000000,0.000000,0.000000,0.000000,-0.122060,0.066728,-49.411240,49.413021,49.889641,49.366905,0.115783,0.000000,0.000000,49.591057,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009024,0.034022,0.051771,0.000000,0.000000,0.000000,0.000000,-0.122271,0.067351,-49.414684,49.413383,49.739029,49.366905,0.114345,0.000000,0.000000,49.826225,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.008100,0.033904,0.050836,0.000000,0.000000,0.000000,0.000000,-0.122455,0.068018,-49.412685,49.415825,49.894924,49.366905,0.115434,0.000000,0.000000,49.659760,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.009043,0.033640,0.052205,0.000000,0.000000,0.000000,0.000000,-0.122624,0.068704,-49.416664,49.415386,50.040253,49.366905,0.116545,0.000000,0.000000,50.011185,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.007273,0.032581,0.053855,0.000000,0.000000,0.000000,0.000000,-0.122800,0.069385,-49.413723,49.411858,50.362614,49.366905,0.114928,0.000000,0.000000,49.992691,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010433,0.033453,0.054102,0.000000,0.000000,0.000000,0.000000,-0.122318,0.068912,-49.411488,49.409405,49.995331,49.366905,0.115911,0.000000,0.000000,50.116879,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013158,0.033104,0.054178,0.000000,0.000000,0.000000,0.000000,-0.122485,0.069572,-49.407818,49.408760,50.108952,49.366905,0.114817,0.000000,0.000000,50.138016,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.014074,0.034425,0.055016,0.000000,0.000000,0.000000,0.000000,-0.122720,0.070232,-49.409344,49.403805,49.234344,49.366905,0.115713,0.000000,0.000000,49.997974,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.014260,0.035822,0.055511,0.000000,0.000000,0.000000,0.000000,-0.122994,0.070906,-49.403915,49.399117,49.945129,49.366905,0.116594,0.000000,0.000000,49.252842,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.012176,0.033636,0.054898,0.000000,0.000000,0.000000,0.000000,-0.120703,0.065194,-49.398758,49.396355,50.101025,49.366905,0.114810,0.000000,0.000000,50.071960,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013926,0.033765,0.052975,0.000000,0.000000,0.000000,0.000000,-0.120554,0.064426,-49.394741,49.392620,49.723175,49.366905,0.115558,0.000000,0.000000,50.042892,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013108,0.033104,0.050111,0.000000,0.000000,0.000000,0.000000,-0.120803,0.065093,-49.393612,49.389881,50.433956,49.366905,0.113723,0.000000,0.000000,50.079887,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.012037,0.033177,0.048741,0.000000,0.000000,0.000000,0.000000,-0.121073,0.065756,-49.388103,49.389618,50.124805,49.366905,0.114282,0.000000,0.000000,50.061390,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010729,0.029032,0.047276,0.000000,0.000000,0.000000,0.000000,-0.121568,0.067083,-49.387390,49.385864,49.768093,49.366905,0.112962,0.000000,0.000000,49.982121,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
